Module Code,Title
EE3505,Electrical Energy Systems
EE3601,Bio-Instrumentation & Signal Analysis
EE3701,Digital Media Technologies
EE3702,Electronic Gaming
EE3731C,Signal Processing Methods
EE4101,RF Communications
EE4101E,Radio-Frequency (RF) Communications
EE4102,Digital Communications
EE4102E,Digital Communications
EE4103,Coding Theory And Applications
EE4104,Microwave Circuits & Devices
EE4110,MIC & MMIC Design
EE4110,RFIC and MMIC Design
EE4112,HF Techniques
EE4112E,High Frequency (HF) Techniques
EE4113,Digital Communications & Coding
EE4113E,Digital Communications & Coding
EE4114,Optical Communications
EE4131,Random Signals
EE4210,Computer Communication Networks II
EE4210E,Computer Communications Networks II
EE4212,Computer Vision
EE4213,Image Processing
EE4213,Image and Video Processing
EE4214,Real-Time Embedded Systems
EE4214E,Real-Time Embedded Systems
EE4218,Embedded Hardware System Design
EE4302,Advanced Control Systems
EE4305,Introduction To Fuzzy / Neural Systems
EE4306,Distributed Autonomous Robotic Systems
EE4307,Control Systems Design And Simulation
EE4401,Optoelectronics
EE4408,Silicon Device Reliability
EE4408E,Silicon Device Reliability
EE4411,Silicon Processing Technology
EE4411E,Silicon Processing Technology
EE4412,Technology & Modelling Of Si Transistors
EE4412E,Technology And Modelling Of Silicon Transistors
EE4413,Low-Dimensional Electronic Devices
EE4414,Magnetic Mat'ls&Devices For Info Storage
EE4415,Integrated Digital Design
EE4415E,Integrated Digital Design
EE4431,Nano-Device Engineering
EE4433,Nanometer Scale Information Storage
EE4501,Power System Management And Protection
EE4502,Electric Drives & Control
EE4505,Power Semiconductor Devices & ICs
EE4506,Magnetic Recording Systems
EE4509,Silicon Micro Systems
EE4510,Solar Photovoltaic Energy Systems
EE4511,Sustainable Energy Systems
EE4601,Sensors For Biomedical Applications
EE4602,Bioelectronics
EE4603,Biomedical Imaging Systems
EE4604,Biological Perception in Digital Media
EE4701,Video Processing
EE4702,Game World Mechanics
EG1108,Electrical Engineering
EG1109,Statics And Mechanics Of Materials
EG1310,Exploratory Satellite Design
EG1413,Critical Thinking And Writing
EG1471,English For Academic Purposes (Engg)
EG2401,Engineering Professionalism
EG2604,Innovation Programme
EL1101E,The Nature of Language
EL2201,Structure of Sentences and Meaning
EL2202,The Sound System of English
EL2211,Historical Variation in English
EL2251,Social Variation in English
EL3201,Morphology and Syntax
EL3202,Phonetics and Phonology
EL3203,Semantics and Pragmatics
EL3204,Discourse Structure
EL3206,Psycholinguistics
EL3208,Bilingualism
EL3211,Language in Contact
EL3216,Language and the Internet
EL3222,Cinematic Discourse and Language
EL3251,"Language, Society and Identity"
EL3252,Language Planning and Policy
EL3254,"Media, Discourse and Society"
EL3256,Language and the Workplace
EL3257,Investigating Language in the Media
EL3880A,Semantics in Generative Grammar
EL3880B,Cinematic Discourse and Language
EL3880C,Grammaticalisation
EL3880D,The Lexicon of English
EL3880E,Second Language Learning
EL4200,Research Workshop
EL4201,Syntax
